日期,市場,粳種白米零售,硬秈白米零售,軟秈白米零售,圓糯白米零售,長糯白米零售,
2021/7/1,基隆市,44.38,47.08,0,53.45,56.79,
2021/7/1,台北市,44.85,50.28,47.64,54.35,57.41,
2021/7/1,新北市,43.54,46.56,45.63,53.13,56.67,
2021/7/1,桃園市,40.19,42.5,43.33,48.81,57.85,
2021/7/1,新竹市,41.56,44.76,0,48.96,51.94,
2021/7/1,新竹縣,40,44.34,0,50.42,56.11,
2021/7/1,苗栗縣,39.44,0,0,48.96,55.75,
2021/7/1,台中市,42.34,48.14,48,52.6,57,
2021/7/1,彰化縣,38.84,44.05,42.45,52.45,54.08,
2021/7/1,南投縣,40.92,45.47,44.6,54.65,56.78,
2021/7/2,基隆市,44.38,47.08,0,53.45,56.79,
2021/7/2,台北市,44.85,50.28,47.64,54.35,57.41,
2021/7/2,新北市,43.54,46.56,45.63,53.13,56.67,
2021/7/2,桃園市,40.83,42.5,43.33,48.81,57.85,
2021/7/2,新竹市,41.56,44.76,0,48.96,51.94,
2021/7/2,新竹縣,40,44.34,0,50.42,56.11,
2021/7/2,苗栗縣,39.44,0,0,48.96,55.75,
2021/7/2,台中市,42.34,48.14,48,52.47,56.43,
2021/7/2,彰化縣,38.84,44.05,42.45,52.45,54.08,
2021/7/2,南投縣,40.92,45.47,44.6,54.65,56.78,
